distance_km,prep_time_min,traffic_level,rain,delivery_min
7.69,26,3,0,63.0
10.82,24,1,0,57.7
9.42,13,1,0,47.9
3.09,7,3,0,31.8
3.95,8,1,0,25.8
10.55,10,1,0,46.4
0.56,13,3,1,34.4
9.94,16,3,1,61.0
9.67,28,2,0,62.9
5.88,12,3,0,44.7
3.98,27,3,0,46.8
3.7,22,3,1,47.3
3.43,26,1,1,39.8
5.62,15,1,0,42.1
6.3,5,2,0,33.8
6.87,25,1,0,51.6
11.95,11,1,0,55.9
9.62,9,2,1,54.7
7.66,25,3,0,55.7
11.87,22,3,0,72.3
2.98,10,2,0,34.5
2.34,12,3,0,31.3
7.54,28,2,1,60.7
1.01,12,1,0,23.8
0.91,23,2,1,38.5
6.42,8,3,0,48.7
5.86,25,3,0,51.6
11.05,8,3,1,64.9
7.74,18,2,0,47.0
6.41,6,3,0,47.6
6.21,19,2,0,44.2
3.35,26,3,0,40.4
0.64,7,2,0,20.6
2.71,12,3,0,34.5
8.46,24,3,0,65.2
2.81,20,3,1,45.0
4.75,13,3,0,41.7
0.54,21,2,0,31.2
10.05,16,3,0,64.1
2.28,27,1,0,34.7
3.58,12,2,0,35.9
10.62,24,3,0,68.4
6.36,21,2,0,47.0
10.24,24,1,0,57.7
7.86,14,3,0,52.1
9.03,23,2,0,55.1
1.55,22,3,0,40.7
6.72,15,3,1,51.2
6.34,6,1,0,36.7
10.52,29,2,0,68.2
4.65,23,1,1,44.8
7.38,10,2,0,41.9
1.18,23,3,0,36.6
4.96,12,3,0,43.0
4.21,17,3,0,44.6
2.23,26,1,0,34.7
9.89,16,2,1,63.4
4.86,12,3,1,45.6
11.76,13,3,0,64.1
7.28,7,3,0,41.8
7.46,10,1,1,47.2
7.84,12,2,0,46.9
8.28,9,3,0,49.1
2.23,7,1,1,30.1
5.56,17,3,1,54.1
3.25,10,1,1,25.2
5.13,23,1,0,41.2
1.61,28,3,1,43.7
11.63,12,1,0,56.7
2.97,19,1,0,38.0
8.23,18,1,0,46.1
3.95,7,1,0,27.2
10.55,8,3,1,61.4
8.12,27,3,1,67.7
2.01,17,1,0,29.1
10.22,25,2,0,65.5
11.37,7,2,0,51.7
10.9,20,3,0,69.3
7.05,27,3,1,61.2
2.17,27,3,1,49.1
2.71,5,1,1,30.2
11.17,18,1,0,58.3
6.85,14,3,0,46.6
2.58,24,1,0,32.0
10.67,7,2,0,50.9
7.88,12,2,0,46.5
7.05,25,2,1,60.9
4.83,17,1,0,33.0
5.23,16,1,0,38.0
3.25,29,2,0,44.8
0.94,13,1,0,23.0
10.58,6,3,0,56.5
5.88,15,3,0,50.4
6.8,9,2,0,42.5
4.2,7,3,1,43.8
9.14,19,2,1,62.0
0.79,29,3,0,44.4
4.78,19,1,0,32.6
0.85,21,2,0,33.9
1.91,13,1,1,29.4
11.62,19,1,1,63.4
8.06,24,3,0,56.8
5.42,20,3,0,43.7
6.52,25,1,0,45.7
10.54,19,3,0,61.9
4.46,10,2,0,36.0
7.29,20,2,0,46.3
8.36,17,1,0,50.7
4.59,9,3,0,39.4
6.47,20,3,0,51.0
9.3,25,3,0,61.9
10.96,8,1,0,47.4
2.24,19,2,0,30.9
11.23,23,2,0,62.8
